667A Lyttelton          New Zealand         1997 43360S 172430E 0000 3 00000R MM
667A Lytt  199701011 1673 1273  883  653  643  573  803 1153 1503 1753 1813 1923
667A Lytt  199701012 1643 1293  973  713  433  663  793 1103 1453 1803 1923 1933
667A Lytt  199701021 1833 1493 1093  813  623  553  583  963 1283 1523 1873 2023
667A Lytt  199701022 1783 1583 1343  913  623  613  633  883 1223 1633 1773 1993
667A Lytt  199701031 1993 1823 1343 1133  773  583  593  813 1013 1523 1833 1973
667A Lytt  199701032 2133 1983 1593 1263 1033  823  543  773 1063 1423 1743 2043
667A Lytt  199701041 2113 2043 1933 1353 1163  913  653  713  973 1273 1543 2053
667A Lytt  199701042 2343 2143 1983 1823 1353  993  813  693  903 1183 1463 1843
667A Lytt  199701051 2063 2273 2023 1733 1453 1023  783  583  703 1043 1233 1783
667A Lytt  199701052 2143 2203 2233 2003 1603 1193  863  613  553  723 1123 1423
667A Lytt  199701061 1813 2143 2163 1913 1603 1283  763  533  363  593  903 1323
667A Lytt  199701062 1833 2063 2313 2213 1813 1543 1053  673  443  483  653 1033
667A Lytt  199701071 1503 1953 2033 2153 1943 1553 1043  683  403  303  473  933
667A Lytt  199701072 1443 1783 2213 2293 2113 1973 1323  883  613  273  383  563
667A Lytt  199701081 1053 1633 1923 2053 2223 1883 1423  993  443  323  163  393
667A Lytt  199701082  853 1413 1913 2193 2243 2283 1793 1263  873  413  183  253
667A Lytt  199701091  553 1073 1643 1993 2203 2333 1803 1333  843  433   93  153
667A Lytt  199701092  353  933 1493 1953 2293 2483 2233 1873 1253  773  403   93
667A Lytt  199701101  203  613 1133 1663 2133 2303 2293 1923 1343 1023  313  113
667A Lytt  199701102  193  493  973 1713 2223 2533 2593 2463 2013 1343  903  563
667A Lytt  199701111  153  363  833 1323 1903 2403 2443 2323 2083 1503  913  553
667A Lytt  199701112  353  293  593 1313 1853 2383 2793 2793 2503 2203 1583  873
667A Lytt  199701121  513  343  423  743 1493 2003 2363 2623 2553 2103 1633 1053
667A Lytt  199701122  523  273  433  613 1113 1853 2263 2513 2673 2393 1883 1353
667A Lytt  199701131  713  363  153  223  793 1233 1793 2363 2443 2223 2073 1383
