667A Lyttelton          New Zealand         2012 43360S 172430E 0000 3 00000R MM
667A Lytt  201201011 1884 1638 1265  839  702  668  850 1073 1519 1903 1977 2197
667A Lytt  201201012 2112 1708 1412 1106  872  774  829 1228 1397 1702 2066 2129
667A Lytt  201201021 2013 1929 1518 1090  970  649  688  884 1288 1551 1838 2148
667A Lytt  201201022 2145 1972 1653 1414 1014  855  836  843 1117 1536 1662 1959
667A Lytt  201201031 2122 1998 1702 1394 1055  821  646  668  930 1256 1531 1902
667A Lytt  201201032 2100 1991 1858 1566 1171  971  716  776  809 1163 1497 1668
667A Lytt  201201041 1944 2226 1822 1639 1373 1061  662  676  828  909 1342 1746
667A Lytt  201201042 1901 2106 2038 1832 1441 1357  954  789  909  965 1247 1645
667A Lytt  201201051 1932 1999 2105 1888 1604 1311  887  717  705  831 1119 1532
667A Lytt  201201052 1867 2009 2162 2169 1727 1576 1159  889  786  889  970 1371
667A Lytt  201201061 1649 1990 2112 2097 1944 1625 1214  962  789  792  904 1351
667A Lytt  201201062 1725 1952 2220 2277 2120 1832 1504 1145  893  809  848 1081
667A Lytt  201201071 1472 1820 2012 2175 2141 1895 1480 1091  868  732  641 1015
667A Lytt  201201072 1368 1713 2057 2204 2195 2083 1642 1287  912  791  619  754
667A Lytt  201201081 1144 1577 1744 2062 2162 2006 1691 1287  911  598  599  669
667A Lytt  201201082  965 1398 1807 2148 2173 2271 1936 1526 1151  892  613  623
667A Lytt  201201091  859 1225 1618 1960 2138 2187 2048 1612 1200  877  591  621
667A Lytt  201201092  725 1092 1577 1986 2155 2363 2222 1887 1539 1038  737  579
667A Lytt  201201101  668  859 1326 1724 2026 2196 2208 1988 1512 1174  760  628
667A Lytt  201201102  505  865 1202 1665 2119 2438 2331 2233 1943 1346  994  653
667A Lytt  201201111  585  715  970 1478 1945 2186 2242 2270 1959 1503 1052  785
667A Lytt  201201112  509  576  900 1295 1842 2333 2469 2400 2336 1783 1375  865
667A Lytt  201201121  642  623  672 1103 1677 1983 2265 2433 2214 1941 1479 1121
667A Lytt  201201122  704  653  747 1052 1496 2104 2483 2481 2576 2301 1829 1328
667A Lytt  201201131 1086  669  618  978 1338 1811 2111 2504 2461 2273 2031 1458
667A Lytt  201201132 1052  766  676  720 1157 1654 2028 2463 2620 2326 2194 1692
667A Lytt  201201141 1128  866  583  576  915 1335 1645 2156 2389 2399 2156 1837
667A Lytt  201201142 1319  824  640  582  649 1216 1676 2143 2349 2666 2350 1959
667A Lytt  201201151 1667  998  698  515  539  886 1235 1757 2158 2365 2362 2188
667A Lytt  201201152 1738 1254  886  545  458  793 1157 1475 1988 2323 2311 2142
667A Lytt  201201161 1855 1385  912  568  496  512  761 1246 1766 2063 2288 2232
667A Lytt  201201162 1993 1577 1052  651  463  453  659 1037 1466 1958 2134 2204
667A Lytt  201201171 2103 1702 1243  804  526  332  427  734 1202 1679 2017 2309
667A Lytt  201201172 2193 1837 1603  963  581  554  376  568 1080 1500 1747 2209
667A Lytt  201201181 2213 1966 1691 1294  775  457  378  518  813 1359 1732 2197
667A Lytt  201201182 2480 2215 2044 1704 1080  802  590  485  740 1280 1581 1938
667A Lytt  201201191 2343 2290 2040 1841 1326  854  626  472  524  833 1548 1967
667A Lytt  201201192 2343 2581 2519 2133 1819 1396  848  594  707  782 1133 1698
667A Lytt  201201201 2041 2341 2342 2172 1816 1282  939  519  432  663 1001 1467
667A Lytt  201201202 2013 2340 2461 2412 2152 1708 1167  875  610  619  717 1275
667A Lytt  201201211 1753 2159 2421 2420 2303 1889 1241  900  565  371  719 1037
667A Lytt  201201212 1620 2096 2399 2562 2549 2229 1763 1170 1002  666  525  900
667A Lytt  201201221 1300 1873 2193 2422 2537 2188 1789 1290  795  608  540  700
667A Lytt  201201222 1179 1725 2218 2485 2714 2579 2164 1711 1174  814  497  534
667A Lytt  201201231  812 1375 1809 2119 2509 2483 2167 1697 1194  745  575  414
667A Lytt  201201232  692 1142 1629 2089 2403 2594 2269 1945 1542  977  560  440
667A Lytt  201201241  527  749 1329 1820 2146 2364 2281 2013 1448  979  692  349
667A Lytt  201201242  399  587 1158 1681 2103 2293 2474 2191 1804 1371  865  510
667A Lytt  201201251  404  600  696 1430 1876 2093 2264 2241 1836 1387  970  623
667A Lytt  201201252  450  485  795 1153 1813 2183 2360 2375 2211 1773 1290  909
667A Lytt  201201261  670  583  642 1005 1587 1869 2287 2488 2273 1942 1538  976
667A Lytt  201201262  836  518  599  909 1517 2215 2164 2498 2623 2209 1798 1379
667A Lytt  201201271 1022  667  716  881 1336 1712 2037 2343 2379 2289 1841 1474
667A Lytt  201201272 1141  756  719  778 1098 1671 1867 2248 2371 2322 2047 1591
667A Lytt  201201281 1263  901  828  685 1054 1475 1729 2104 2370 2281 2125 1800
667A Lytt  201201282 1400 1007  877  756  885 1430 1657 1975 2366 2357 2156 1823
667A Lytt  201201291 1633 1093  717  719  745 1000 1408 1583 1933 2279 2087 1915
667A Lytt  201201292 1681 1323  977  740  761 1033 1241 1632 2022 2156 2244 2143
667A Lytt  201201301 1644 1544 1066  775  789  852 1173 1440 1763 2039 2187 2178
667A Lytt  201201302 1818 1611 1341  835  832  959 1051 1303 1666 1970 2058 2087
667A Lytt  201201311 1989 1641 1345 1028  825  734  871 1233 1392 1896 2085 2127
667A Lytt  201201312 2134 1814 1554 1131  950  942  924 1110 1451 1809 1915 2228
667A Lytt  201202011 2072 1853 1683 1298 1036  760  888 1011 1199 1595 1939 2124
667A Lytt  201202012 2245 2006 1858 1459 1161 1027  740  913 1181 1472 1621 2027
667A Lytt  201202021 2068 1908 1881 1542 1210  885  788  839  881 1326 1665 1964
667A Lytt  201202022 2029 2151 1982 1583 1378 1085  766  710  847 1023 1377 1726
667A Lytt  201202031 1865 2000 1885 1674 1357  988  750  650  638  911 1293 1624
667A Lytt  201202032 1827 2084 2023 1794 1521 1232  804  650  651  738  994 1384
667A Lytt  201202041 1689 1879 1942 1832 1557 1229  834  607  492  612  894 1344
667A Lytt  201202042 1686 1933 2091 1938 1793 1499  957  752  630  524  753 1089
667A Lytt  201202051 1477 1728 1924 1998 1756 1480 1156  713  550  509  617 1015
667A Lytt  201202052 1499 1790 2131 2241 2058 1831 1338  960  669  599  583  828
667A Lytt  201202061 1221 1666 1839 2086 2136 1731 1433  989  585  417  523  636
667A Lytt  201202062 1056 1567 1932 2092 2224 2083 1637 1224  861  542  478  489
667A Lytt  201202071  818 1316 1668 1961 2126 2010 1661 1344  730  502  403  350
667A Lytt  201202072  671 1173 1559 1999 2254 2210 1919 1534 1062  585  445  385
667A Lytt  201202081  481  858 1388 1786 2059 2117 1952 1700 1057  723  427  251
667A Lytt  201202082  365  705 1314 1700 2120 2412 2147 1878 1580  975  479  454
667A Lytt  201202091  318  550 1120 1524 1960 2186 2309 2083 1633 1215  764  371
667A Lytt  201202092  389  492  929 1402 1952 2431 2362 2354 2111 1556 1027  654
667A Lytt  201202101  497  491  798 1292 1844 2045 2419 2391 2023 1686 1157  729
667A Lytt  201202102  337  380  564 1013 1559 2101 2324 2381 2397 1929 1345  884
667A Lytt  201202111  609  325  465  837 1396 1734 2188 2522 2176 2092 1670 1045
667A Lytt  201202112  624  398  386  544 1113 1736 1981 2348 2474 2171 1882 1283
667A Lytt  201202121  806  437  340  478  919 1318 1838 2249 2323 2342 2047 1531
