,stat_idx,oc_idx,x,loc_name,country,Lat,Lon,data_years,CI,Contributor
0,001A,Pxxx,115,Pohnpei-A,Fd St Micronesia,06-59N,158-14E,1969-1971,100,Scripps Inst. Ocean.
1,001B,Pxxx,115,Pohnpei-B,Fd St Micronesia,06-59N,158-15E,1974-2004,98,UH Sea Level Center
2,001C,Pxxx,115,Pohnpei-C,Fd St Micronesia,06-59N,158-12E,2001-2016,91,"Nat. Tidal Ctr., BOM"
3,002A,Pxxx,113,"Tarawa-A,Betio",Rep. of Kiribati,01-22N,172-56E,1974-1983,78,UH Sea Level Center
4,002B,Pxxx,113,"Tarawa-B,Bairiki",Rep. of Kiribati,01-20N,173-01E,1983-1988,98,UH Sea Level Center
5,002C,Pxxx,113,"Tarawa-C,Betio",Rep. of Kiribati,01-22N,172-56E,1988-1997,100,UH Sea Level Center
6,002D,Pxxx,113,"Tarawa-D,Betio",Rep. of Kiribati,01-22N,172-56E,1992-2016,94,"Nat. Tidal Ctr., BOM"
7,003A,Pxxx,169,Baltra-A,Ecuador,00-26S,090-17W,1968-1977,93,National Ocean Service
8,003B,Pxxx,169,Baltra-B,Ecuador,00-26S,090-17W,1985-2017,89,UH Sea Level Center
9,004A,Pxxx,114,Nauru-A,Rep. of Nauru,00-32S,166-54E,1974-1995,95,UH Sea Level Center
10,004B,Pxxx,114,Nauru-B,Rep. of Nauru,00-32S,166-55E,1993-2016,92,"Nat. Tidal Ctr., BOM"
11,005A,Pxxx,112,Majuro-A,Rep. Marshall I.,07-06N,171-22E,1968-1999,92,UH Sea Level Center
12,005B,Pxxx,112,Majuro-B,Rep. Marshall I.,07-07N,171-22E,1993-2016,98,"Nat. Tidal Ctr., BOM"
13,006A,Pxxx,xxx,Enewetok-A,Rep. Marshall I.,11-26N,162-23E,1951-1971,98,Scripps Inst. Ocean.
14,006B,Pxxx,xxx,Enewetok-B,Rep. Marshall I.,11-26N,162-23E,1974-1979,94,UH Sea Level Center
15,007A,Pxxx,120,Malakal-A,Rep. of Belau,07-20N,134-29E,1926-1939,92,Japan Ocean. Data Cen.
16,007B,Pxxx,120,Malakal-B,Rep. of Belau,07-20N,134-28E,1969-2017,96,UH Sea Level Center
17,008A,Pxxx,119,Yap-A,Fd St Micronesia,09-31N,138-08E,1951-1952,100,Scripps Inst. Ocean.
18,008B,Pxxx,119,Yap-B,Fd St Micronesia,09-31N,138-08E,1969-2017,91,UH Sea Level Center
19,009A,Pxxx,066,Honiara-A,Solomon Islands,09-26S,159-57E,1974-1995,98,UH Sea Level Center
20,009B,Pxxx,066,Honiara-B,Solomon Islands,09-25S,159-57E,1994-2016,99,"Nat. Tidal Ctr., BOM"
21,010A,Pxxx,065,Rabaul,Papua New Guinea,04-12S,152-11E,1966-1997,85,UH Sea Level Center
22,011A,Pxxx,146,Christmas-A,Rep. of Kiribati,01-59N,157-29W,1955-1972,89,Scripps Inst. Ocean.
23,011B,Pxxx,146,Christmas-B,Rep. of Kiribati,01-59N,157-28W,1974-2017,91,UH Sea Level Center
24,012A,Pxxx,xxx,Fanning-A,Rep. of Kiribati,03-54N,159-23W,1957-1958,88,Scripps Inst. Ocean.
25,012B,Pxxx,xxx,Fanning-B,Rep. of Kiribati,03-54N,159-23W,1972-1987,95,UH Sea Level Center
26,012C,Pxxx,xxx,Fanning-C,Rep. of Kiribati,03-51N,159-22W,1988-1990,78,UH Sea Level Center
27,013A,Pxxx,145,Kanton-A,Rep. of Kiribati,02-49S,171-43W,1949-1967,100,Scripps Inst. Ocean.
28,013B,Pxxx,145,Kanton-B,Rep. of Kiribati,02-49S,171-43W,1972-2017,82,UH Sea Level Center
29,014A,Pxxx,107,French Frigate-A,USA,23-52N,166-17W,1974-2007,95,UH Sea Level Center
30,014B,Pxxx,107,French Frigate-B,USA,23-52N,166-17W,2007-2016,73,UH Sea Level Center
31,015A,Pxxx,140,Papeete-A,French Polynesia,17-32S,149-34W,1969-1975,91,UH Sea Level Center
32,015B,Pxxx,140,Papeete-B,French Polynesia,17-32S,149-34W,1975-2017,98,UH Sea Level Center
33,016A,Pxxx,138,Rikitea,French Polynesia,23-08S,134-57W,1969-2017,94,UH Sea Level Center
34,017A,Pxxx,xxx,Hiva Oa-A,French Polynesia,09-49S,139-02W,1977-1980,75,UH Sea Level Center
35,018A,Pxxx,122,Suva-A,Fiji,18-08S,178-26E,1972-1997,91,National Ocean Service
36,018B,Pxxx,122,Suva-B,Fiji,18-08S,178-26E,1998-2016,99,"Nat. Tidal Ctr., BOM"
37,019A,Pxxx,123,Noumea,France,22-15S,166-25E,1967-2016,99,UHSLC/SHOM
38,021A,Pxxx,176,Juan Fernandez-A,Chile,33-37S,078-50W,1977-1984,67,UH Sea Level Center
39,021B,Pxxx,176,Juan Fernandez-B,Chile,33-38S,078-50W,1985-2016,88,SHOA
40,022A,Pxxx,137,Easter-A,Chile,27-09S,109-27W,1957-1958,97,SHOA
41,022B,Pxxx,137,Easter-B,Chile,27-09S,109-27W,1962-1963,100,SHOA
42,022C,Pxxx,137,Easter-C,Chile,27-09S,109-26W,1970-2016,85,SHOA
43,023A,Pxxx,139,Rarotonga-A,Cook Islands,21-12S,159-47W,1977-1997,98,UH Sea Level Center
44,023B,Pxxx,139,Rarotonga-B,Cook Islands,21-12S,159-47W,1993-2016,97,"Nat. Tidal Ctr., BOM"
45,024A,Pxxx,143,Penrhyn,Cook Islands,08-59S,158-03W,1977-2017,95,UH Sea Level Center
46,025A,Pxxx,121,Funafuti-A,Tuvalu,08-32S,179-12E,1977-1999,97,UH Sea Level Center
47,025B,Pxxx,121,Funafuti-B,Tuvalu,08-30S,179-13E,1993-2016,97,"Nat. Tidal Ctr., BOM"
48,026A,Pxxx,xxx,"Honolulu,Kewalo",USA,21-18N,157-52W,1978-1986,96,UH Sea Level Center
49,027A,Pxxx,xxx,"Honolulu,Pier 45",USA,21-19N,157-53W,1985-1988,100,UH Sea Level Center
50,028A,Pxxx,118,Saipan-A,N. Mariana Is.,15-13N,145-44E,1938-1940,97,Japan Ocean. Data Cen.
