,Date,DateValue
0,2016-01-01 00:00:00,1.624
1,2016-01-01 01:00:00,1.295
2,2016-01-01 02:00:00,0.927
3,2016-01-01 03:00:00,0.586
4,2016-01-01 04:00:00,0.457
5,2016-01-01 05:00:00,0.694
6,2016-01-01 06:00:00,1.006
7,2016-01-01 07:00:00,1.14
8,2016-01-01 08:00:00,1.569
9,2016-01-01 09:00:00,2.096
10,2016-01-01 10:00:00,2.042
11,2016-01-01 11:00:00,1.989
12,2016-01-01 12:00:00,1.893
13,2016-01-01 13:00:00,1.454
14,2016-01-01 14:00:00,1.051
15,2016-01-01 15:00:00,0.832
16,2016-01-01 16:00:00,0.603
17,2016-01-01 17:00:00,0.658
18,2016-01-01 18:00:00,0.842
19,2016-01-01 19:00:00,1.325
20,2016-01-01 20:00:00,1.674
21,2016-01-01 21:00:00,1.831
22,2016-01-01 22:00:00,2.142
23,2016-01-01 23:00:00,2.18
24,2016-01-02 00:00:00,1.91
25,2016-01-02 01:00:00,1.584
26,2016-01-02 02:00:00,1.39
27,2016-01-02 03:00:00,0.961
28,2016-01-02 04:00:00,0.618
29,2016-01-02 05:00:00,0.76
30,2016-01-02 06:00:00,0.745
31,2016-01-02 07:00:00,1.078
32,2016-01-02 08:00:00,1.475
33,2016-01-02 09:00:00,1.845
34,2016-01-02 10:00:00,2.037
35,2016-01-02 11:00:00,2.28
36,2016-01-02 12:00:00,2.186
37,2016-01-02 13:00:00,1.737
38,2016-01-02 14:00:00,1.65
39,2016-01-02 15:00:00,1.169
40,2016-01-02 16:00:00,0.841
41,2016-01-02 17:00:00,0.836
42,2016-01-02 18:00:00,0.886
43,2016-01-02 19:00:00,1.044
44,2016-01-02 20:00:00,1.41
45,2016-01-02 21:00:00,1.854
46,2016-01-02 22:00:00,1.989
47,2016-01-02 23:00:00,2.205
48,2016-01-03 00:00:00,2.102
49,2016-01-03 01:00:00,2.06
50,2016-01-03 02:00:00,1.636
51,2016-01-03 03:00:00,1.221
52,2016-01-03 04:00:00,0.934
53,2016-01-03 05:00:00,0.805
54,2016-01-03 06:00:00,0.754
55,2016-01-03 07:00:00,0.956
56,2016-01-03 08:00:00,1.277
57,2016-01-03 09:00:00,1.641
58,2016-01-03 10:00:00,1.961
59,2016-01-03 11:00:00,2.156
60,2016-01-03 12:00:00,2.311
61,2016-01-03 13:00:00,1.996
62,2016-01-03 14:00:00,1.835
63,2016-01-03 15:00:00,1.521
64,2016-01-03 16:00:00,1.012
65,2016-01-03 17:00:00,0.884
66,2016-01-03 18:00:00,0.845
67,2016-01-03 19:00:00,0.774
68,2016-01-03 20:00:00,1.11
69,2016-01-03 21:00:00,1.539
70,2016-01-03 22:00:00,1.724
71,2016-01-03 23:00:00,1.86
72,2016-01-04 00:00:00,2.161
73,2016-01-04 01:00:00,1.987
74,2016-01-04 02:00:00,1.776
75,2016-01-04 03:00:00,1.369
76,2016-01-04 04:00:00,1.148
77,2016-01-04 05:00:00,0.784
78,2016-01-04 06:00:00,0.617
79,2016-01-04 07:00:00,0.742
80,2016-01-04 08:00:00,0.864
81,2016-01-04 09:00:00,1.191
82,2016-01-04 10:00:00,1.621
83,2016-01-04 11:00:00,1.921
84,2016-01-04 12:00:00,2.037
85,2016-01-04 13:00:00,2.1
86,2016-01-04 14:00:00,1.898
87,2016-01-04 15:00:00,1.581
88,2016-01-04 16:00:00,1.262
89,2016-01-04 17:00:00,0.961
90,2016-01-04 18:00:00,0.66
91,2016-01-04 19:00:00,0.702
92,2016-01-04 20:00:00,0.816
93,2016-01-04 21:00:00,1.148
94,2016-01-04 22:00:00,1.377
95,2016-01-04 23:00:00,1.718
96,2016-01-05 00:00:00,2.017
97,2016-01-05 01:00:00,2.044
98,2016-01-05 02:00:00,1.833
99,2016-01-05 03:00:00,1.631
100,2016-01-05 04:00:00,1.317
101,2016-01-05 05:00:00,0.956
102,2016-01-05 06:00:00,0.664
103,2016-01-05 07:00:00,0.606
104,2016-01-05 08:00:00,0.681
105,2016-01-05 09:00:00,0.934
106,2016-01-05 10:00:00,1.214
107,2016-01-05 11:00:00,1.589
108,2016-01-05 12:00:00,1.996
109,2016-01-05 13:00:00,1.965
110,2016-01-05 14:00:00,1.974
111,2016-01-05 15:00:00,1.856
112,2016-01-05 16:00:00,1.429
113,2016-01-05 17:00:00,1.136
114,2016-01-05 18:00:00,0.842
115,2016-01-05 19:00:00,0.69
116,2016-01-05 20:00:00,0.703
117,2016-01-05 21:00:00,0.864
118,2016-01-05 22:00:00,1.196
119,2016-01-05 23:00:00,1.477
120,2016-01-06 00:00:00,1.808
121,2016-01-06 01:00:00,2.102
122,2016-01-06 02:00:00,2.034
123,2016-01-06 03:00:00,1.729
124,2016-01-06 04:00:00,1.7
125,2016-01-06 05:00:00,1.21
126,2016-01-06 06:00:00,0.812
127,2016-01-06 07:00:00,0.676
128,2016-01-06 08:00:00,0.588
129,2016-01-06 09:00:00,0.686
130,2016-01-06 10:00:00,0.93
131,2016-01-06 11:00:00,1.474
132,2016-01-06 12:00:00,1.756
133,2016-01-06 13:00:00,1.971
134,2016-01-06 14:00:00,2.194
135,2016-01-06 15:00:00,2.083
136,2016-01-06 16:00:00,1.58
137,2016-01-06 17:00:00,1.507
138,2016-01-06 18:00:00,1.138
139,2016-01-06 19:00:00,0.769
140,2016-01-06 20:00:00,0.591
141,2016-01-06 21:00:00,0.832
142,2016-01-06 22:00:00,0.93
143,2016-01-06 23:00:00,1.234
144,2016-01-07 00:00:00,1.734
145,2016-01-07 01:00:00,2.024
146,2016-01-07 02:00:00,2.128
147,2016-01-07 03:00:00,2.07
148,2016-01-07 04:00:00,1.974
149,2016-01-07 05:00:00,1.624
